     0.356 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.358 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.360 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.369 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.371 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.377 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f1fdbb20db0, sigsetsize: 8         ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f1fdbb20d10, sigsetsize: 8          ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.390 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.396 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f1fdbb20db0, sigsetsize: 8         ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f1fdbb20d10, sigsetsize: 8          ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f1fdbb20db0, sigsetsize: 8          ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f1fdbb20d10, sigsetsize: 8           ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f1fdbb20db0, sigsetsize: 8             ) = 0
     0.430 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f1fdbb20d10, sigsetsize: 8              ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.449 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.451 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
